title,brand,image_url,priced_before,discount_percent,current_price,size
Embroidered Fit & Flared Dress with Floral Applique,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h66/h24/14498938880030/-286Wx359H-441023986-yellow-MODEL.jpg,999,49% off,509,[2-3Y-3-4Y-5-6Y-7-8Y]
Cotton Straight Kurta with Embroidered Yoke,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h77/h0c/11822786412574/-286Wx359H-440854604-navy-MODEL.jpg,499,51% off,245,[XS-S-M-L-XL-XXL]
Printed A-line Kurta with Mock-Buttons,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hb8/heb/14491773042718/-286Wx359H-441023393-teal-MODEL.jpg,1299,49% off,662,[XS-S-M-L-XL-XXL]
Typographic Print Joggers with Insert Pockets,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h2c/hae/15785536323614/-286Wx359H-441050921-greymelange-MODEL.jpg,699,30% off,489,[XS-S-M-L-XL-XXL]
Graphic Print Crew-Neck T-shirt,KB TEAM SPIRIT,https://assets.ajio.com/medias/sys_master/root/h6b/h8f/14876666560542/-286Wx359H-441036943-green-MODEL.jpg,199,30% off,139,[2-3Y-3-4Y-5-6Y-7-8Y]
Mid-Rise Track Pants with Insert Pockets,Teamspirit,https://assets.ajio.com/medias/sys_master/root/ha1/h4e/13693056843806/-286Wx359H-440997087-purple-MODEL.jpg,699,51% off,343,[XS-S-M-L-XXL]
Printed Shirt with Buttoned Welt Pocket,POINT COVE,https://assets.ajio.com/medias/sys_master/root/h7a/h08/14729559605278/-286Wx359H-441031647-orange-MODEL.jpg,699,51% off,343,[3-4Y-5-6Y-7-8Y-9-10Y-11-12Y-13-14Y]
Pleat-Front Cropped Pants with Slip Pockets,Jaipur Kurti,https://assets.ajio.com/medias/sys_master/root/h81/h30/16541554245662/-286Wx359H-460557296-white-MODEL.jpg,1149,55% off,517,[S]
Printed Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h78/h3b/15085029818398/-286Wx359H-441051634-maroon-MODEL.jpg,499,20% off,399,[M-L-XL-XXL]
Pack of 3 Printed T-shirt,INF FRENDZ,https://assets.ajio.com/medias/sys_master/root/h1e/hd9/14800918544414/-286Wx359H-441021043-assorted-MODEL.jpg,649,49% off,331,[0-3M-0-6M-6-12M-12-18M]
Mid-Rise Track Pants with Insert Pockets,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h99/haf/13693051928606/-286Wx359H-440997087-navy-MODEL.jpg,699,51% off,343,[XS-S-M-L-XXL]
Floral Print Straight Kurti with Band Collar,FUSION,https://assets.ajio.com/medias/sys_master/root/ha6/hfb/14719771475998/-286Wx359H-441033914-black-MODEL.jpg,499,45% off,274,[XS-S-M-L-XL-XXL]
Glittery Thong-Strap Slippers,FRISBEE,https://assets.ajio.com/medias/sys_master/root/hb2/h1d/16439297245214/-286Wx359H-450132821-blue-MODEL.jpg,299,50% off,150,[UK 4-UK 5-UK 6-UK 7-UK 8]
Graphic Print Crew-Neck T-shirt,POINT COVE,https://assets.ajio.com/medias/sys_master/root/hd6/h1e/15099943288862/-286Wx359H-441036814-navy-MODEL.jpg,399,30% off,279,[3-4Y-5-6Y-7-8Y-9-10Y-11-12Y-13-14Y]
Geometric Print A-line Shirt Kurta,FUSION,https://assets.ajio.com/medias/sys_master/root/hf1/h2c/14491774418974/-286Wx359H-441024882-white-MODEL.jpg,999,49% off,509,[XS-S-M-L-XL-XXL]
Pack of 3 Printed Mid-Rise Shorts,INF FRENDZ,https://assets.ajio.com/medias/sys_master/root/h53/h86/15322026180638/-286Wx359H-441021027-assorted-MODEL.jpg,549,49% off,280,NA
Panelled Track Pants with Elasticated Drawstring Waist,PERFORMAX,https://assets.ajio.com/medias/sys_master/root/h91/h81/13987574874142/-286Wx359H-440971924-jetblack-MODEL.jpg,599,17% off,497,[S-M-L-XL]
