title,brand,image_url,priced_before,discount_percent,current_price,size
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h8b/h78/15520249380894/-286Wx359H-460552951-white-MODEL.jpg,2999,70% off,900,[FS]
Dip-Dyed Sungudi Cotton Saree with Brocade Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h3f/hc5/17032803713054/-286Wx359H-460553331-green-MODEL.jpg,1999,50% off,1000,[FS]
Banarasi Heavy Silk Kataan Leheriya Brocade Saree,Banarasi Silk Works,https://assets.ajio.com/medias/sys_master/root/h38/ha8/13392466477086/-286Wx359H-460366468-blue-OUTFIT.jpg,11339,65% off,3969,[FS]
South Cotton Textured Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd0/he6/16671219351582/-286Wx359H-460554946-khaki-MODEL.jpg,999,65% off,350,[FS]
Checked Short Kurta with Patch Pocket,VIVID INDIA,https://assets.ajio.com/medias/sys_master/root/h89/h4d/16496262873118/-286Wx359H-460568331-white-MODEL.jpg,1299,30% off,909,[M-L-XL]
Bengal Handloom Pure Silk Tussar Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h12/h61/15879800651806/-286Wx359H-460542465-blue-MODEL.jpg,14999,65% off,5250,[FS]
Handblock Ajrak Print Cotton Hand-Embroidered A-line Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc5/hf6/15415955816478/-286Wx359H-460539506-black-MODEL.jpg,3499,70% off,1050,[XS-S-M-L-XL]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hbc/hc4/15507289505822/-286Wx359H-460553090-white-MODEL.jpg,2999,70% off,900,[FS]
Ikat Print Cotton A-line Dress,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h05/h02/15908874125342/-286Wx359H-460604962-yellow-MODEL.jpg,1999,60% off,800,[S-M-L-XL-XXL]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6b/h0a/15258722041886/-286Wx359H-460551727-white-MODEL.jpg,2499,60% off,1000,[FS]
South Cotton Checked Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd1/h96/17032840609822/-286Wx359H-460554996-orange-MODEL.jpg,999,60% off,400,[FS]
Banarasi Heavy Silk Kataan Brocade Saree,Banarasi Silk Works,https://assets.ajio.com/medias/sys_master/root/h6f/he2/14300840689694/-286Wx359H-460467648-mustard-OUTFIT.jpg,4699,65% off,1645,[FS]
Kutch Handblock Print Ajrak Modal Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h30/h65/15083788730398/-286Wx359H-460477570-red-OUTFIT.jpg,9999,72% off,2800,[FS]
Checked South Cotton Saree with Temple Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h32/h0c/15575528800286/-286Wx359H-460527203-red-MODEL.jpg,1999,70% off,600,[FS]
South Silk Saree with Zari Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h03/haa/15606191063070/-286Wx359H-460547324-blue-MODEL.jpg,1999,70% off,600,[FS]
Handblock Printed Cotton Kalamkari Dress,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd5/h59/14935492329502/-286Wx359H-460444414-yellow-MODEL.jpg,2499,72% off,700,[XS-S-M-L-XL]
Handblock Print Bagru Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha3/h75/15424964493342/-286Wx359H-460487660-orange-MODEL.jpg,7999,70% off,2400,[FS]
Embroidered Silk Viscose Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/haf/h37/14369318109214/-286Wx359H-460409911-fuchsia-MODEL.jpg,3499,72% off,980,[S-M-L-XL-XXL]
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd2/h8c/16997843206174/-286Wx359H-460624224-yellow-MODEL.jpg,5999,50% off,3000,[FS]
Handblock Print Bagru Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h34/hd1/15424817528862/-286Wx359H-460487696-indigo-MODEL.jpg,7999,70% off,2400,[FS]
Kutch Handblock Print Ajrak Modal Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hed/hf1/15559118520350/-286Wx359H-460477564-beige-MODEL.jpg,9999,70% off,3000,[FS]
